time_s,mode,armed,connected
0.994371487,AUTO.LOITER,False,True
0.994515158,AUTO.LOITER,False,True
0.994676089,AUTO.LOITER,False,True
0.99480678,AUTO.LOITER,False,True
0.994922024,AUTO.LOITER,False,True
0.995033365,AUTO.LOITER,False,True
0.995145888,AUTO.LOITER,False,True
0.995277928,AUTO.LOITER,False,True
0.995470024,AUTO.LOITER,False,True
0.995602116,AUTO.LOITER,False,True
1.725754917,AUTO.LOITER,False,True
2.725735135,AUTO.LOITER,False,True
3.725513647,AUTO.LOITER,False,True
4.72597104,AUTO.LOITER,False,True
5.725717116,OFFBOARD,False,True
6.725492763,OFFBOARD,False,True
7.725517609,OFFBOARD,True,True
8.726204344,OFFBOARD,True,True
9.725301855,OFFBOARD,True,True
10.725617485,OFFBOARD,True,True
11.725635029,OFFBOARD,True,True
12.72616164,OFFBOARD,True,True
13.725650615,OFFBOARD,True,True
14.725740701,OFFBOARD,True,True
15.725502873,OFFBOARD,True,True
16.725423867,OFFBOARD,True,True
17.725602289,OFFBOARD,True,True
18.725396977,OFFBOARD,True,True
19.725718928,OFFBOARD,True,True
20.725851375,OFFBOARD,True,True
21.725625247,OFFBOARD,True,True
22.726093665,OFFBOARD,True,True
23.725755335,OFFBOARD,True,True
24.725714876,OFFBOARD,True,True
25.725805684,OFFBOARD,True,True
26.725776855,OFFBOARD,True,True
27.725916719,AUTO.LAND,True,True
28.725825793,AUTO.LAND,True,True
29.725980498,AUTO.LAND,True,True
30.725912063,OFFBOARD,False,True
31.725613064,OFFBOARD,False,True
32.725932742,OFFBOARD,False,True
33.72634268,OFFBOARD,False,True
34.725768738,OFFBOARD,False,True
35.725555267,OFFBOARD,False,True
36.726148753,OFFBOARD,False,True
